Brand,Model,Variant,Engine Type,Displacement,Max Power,Max Torque,Turbo Charger,Transmission Type,Gearbox,Drive Type
Hyundai,Aura,S CNG,1.2 L Bi-Fuel,1197 cc,68bhp@6000rpm,95.2Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,S Corporate,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,S Corporate CNG,1.2 L Bi-Fuel,1197 cc,68bhp@6000rpm,95.2Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Creta,E,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,EX(O) iVT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Automatic,6-Speed iVT,FWD
Hyundai,Creta,EX,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,EX (O),1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,EX (O) Diesel,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Creta,EX (O) Diesel AT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Creta,EX Diesel,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Creta,E Diesel,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Creta,King DT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,King,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,King Diesel,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Creta,King Diesel AT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Creta,King Diesel AT DT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Creta,King Diesel DT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Creta,King Knight Diesel AT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Creta,King Knight Diesel AT DT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Creta,King Knight iVT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Automatic,6-Speed iVT,FWD
Hyundai,Creta,King Knight iVT DT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Automatic,6-Speed iVT,FWD
Hyundai,Creta,King Limited Edition Diesel AT,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Creta,King Limited Edition iVT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Automatic,6-Speed iVT,FWD
Hyundai,Creta,King Turbo DCT,1.5L T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Creta,King Turbo DCT DT,1.5L T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Creta,King iVT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Automatic,6-Speed iVT,FWD
Hyundai,Creta,King iVT DT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Automatic,6-Speed iVT,FWD
Hyundai,Creta,S,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,SX,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,SX (O),1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
Hyundai,Creta,SX (O) DT,1.5L MPi,1497 cc,113.18bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed,FWD
